Cinchy Id,CLSFX Abbreviation,From Currency,To Currency
2,"AUDJPY","Australian dollar","Japanese yen"
3,"AUDNZD","Australian dollar","New Zealand dollar"
4,"AUDUSD","Australian dollar","US dollar"
5,"CADJPY","Canadian dollar","Japanese yen"
6,"EURAUD","Euro","Australian dollar"
7,"EURCAD","Euro","Canadian dollar"
8,"EURCHF","Euro","Swiss franc"
9,"EURDKK","Euro","Danish krone"
10,"EURGBP","Euro","British pound"
11,"EURHUF","Euro","Hungarian forint"
12,"EURJPY","Euro","Japanese yen"
13,"EURNOK","Euro","Norwegian krone"
14,"EURSEK","Euro","Swedish krona"
15,"EURUSD","Euro","US dollar"
16,"GBPAUD","British pound","Australian dollar"
17,"GBPCAD","British pound","Canadian dollar"
18,"GBPCHF","British pound","Swiss franc"
19,"GBPJPY","British pound","Japanese yen"
20,"GBPUSD","British pound","US dollar"
21,"NZDUSD","New Zealand dollar","US dollar"
22,"USDCAD","US dollar","Canadian dollar"
23,"USDCHF","US dollar","Swiss franc"
24,"USDDKK","US dollar","Danish krone"
25,"USDHKD","US dollar","Hong Kong dollar"
26,"USDHUF","US dollar","Hungarian forint"
27,"USDILS","US dollar","Israeli shekel"
28,"USDJPY","US dollar","Japanese yen"
29,"USDKRW","US dollar","South Korean won"
30,"USDMXN","US dollar","Mexican peso"
31,"USDNOK","US dollar","Norwegian krone"
32,"USDSEK","US dollar","Swedish krona"
33,"USDSGD","US dollar","Singapore dollar"
34,"USDZAR","US dollar","South African rand"
